method,setting,seed,n_classes_failed,RR_macro,RR_median_class,RR_p10_class,RR_iqr_class,repair_conc20,repair_spread,repair_spread_z,n_repaired,cov0.3,cov0.5,cov0.7,n_classes_est,Reg_overall,Reg_macro,Reg_max_class,n_classes_hit,frac_classes_hit,reg_conc20,reg_spread,reg_spread_z,n_regressed
NN-Patching [ungated],lisa_signs/densenet121,303,12,0.25,0.0,0.0,0.25,0.6666666666666666,1.0434782608695652,0.3779644730092272,3,,,,0,0.6906019007391764,0.8431128212662942,1.0,48,0.9056603773584906,0.6804281345565749,0.9337613072658302,-2.8975050927955768,1308
NN-Patching [ungated],lisa_signs/vgg16,101,21,0.031746031746031744,0.0,0.0,0.0,1.0,1.0282776349614395,0.24124895481858172,2,0.0,0.0,0.0,1,0.9833690987124464,0.956060701750357,1.0,51,0.9807692307692307,0.701582105837425,0.9819494584837545,-3.7176119782245727,1833
NN-Patching [ungated],lisa_signs/vgg16,202,18,0.027777777777777776,0.0,0.0,0.0,1.0,1.0,0.0,1,0.0,0.0,0.0,2,0.9860515021459227,0.9606006936134317,1.0,52,0.9811320754716981,0.7159956474428727,0.9819658200358795,-4.360094275912046,1838
NN-Patching [ungated],lisa_signs/vgg16,303,17,0.029411764705882353,0.0,0.0,0.0,1.0,1.0296010296010296,0.2469978897879128,2,0.0,0.0,0.0,1,0.9887339055793991,0.9626701452450619,1.0,53,1.0,0.7227346717308736,1.0004719207173194,0.16012815380507806,1843
PatchNAS [ungated],gtsrb/resnet50,101,20,0.5375,0.5833333333333333,0.0,1.0,0.6,0.7995079950799507,-2.6292032575936624,30,1.0,1.0,1.0,2,0.8953824673381869,0.8525115528404145,1.0,43,1.0,0.511026954778347,1.0,0.0,8978
PatchNAS [ungated],gtsrb/resnet50,202,20,0.684047619047619,1.0,0.0,0.625,0.5714285714285714,0.8786059452335626,-1.6026723652747235,35,1.0,1.0,1.0,4,0.8829161264585619,0.8668465991982638,1.0,43,1.0,0.49610301592680445,1.0,0.0,8853
PatchNAS [ungated],gtsrb/resnet50,303,20,0.5228571428571429,0.7285714285714285,0.0,1.0,0.5925925925925926,0.7308970099667774,-2.7897881907890776,27,0.6666666666666666,0.6666666666666666,0.3333333333333333,3,0.8814201655530068,0.8917640161587768,1.0,43,1.0,0.48664856302330844,1.0,0.0,8838
PatchNAS [ungated],gtsrb/convnext_tiny,101,25,0.6892777777777778,1.0,0.0,0.5555555555555556,0.6649484536082474,0.7816517535739997,-6.921848886391411,194,1.0,0.9166666666666666,0.9166666666666666,12,0.7189709951829456,0.7418665324171556,1.0,41,0.9534883720930233,0.5874554526015681,0.9534883720930233,0.0,7015
PatchNAS [ungated],gtsrb/convnext_tiny,202,23,0.860659605262304,1.0,0.6254545454545455,0.12380952380952381,0.6407766990291263,0.922671353251318,-3.538448019916699,206,1.0,1.0,0.9230769230769231,13,0.7054422465921902,0.744006833821282,1.0,42,0.9767441860465116,0.5759116664245242,0.9767441860465116,0.0,6883
PatchNAS [ungated],gtsrb/convnext_tiny,303,25,0.6634632034632034,1.0,0.0,1.0,0.6683673469387755,0.7395993836671804,-7.961823211631084,196,0.9090909090909091,0.9090909090909091,0.9090909090909091,11,0.7158962795941376,0.75061346853687,1.0,42,0.9767441860465116,0.5872584108804582,0.9767441860465116,0.0,6985
PatchNAS [ungated],gtsrb/densenet121,101,22,0.5744949494949495,0.6904761904761905,0.0,0.9375,0.5901639344262295,0.8174734959764975,-2.6666806687448794,61,0.8571428571428571,0.8571428571428571,0.8571428571428571,7,0.8690332932210189,0.8692218920655123,1.0,43,1.0,0.5263097161320102,1.0,0.0,8666
PatchNAS [ungated],gtsrb/densenet121,202,23,0.6086956521739131,0.9,0.0,1.0,0.7192982456140351,0.7954262987820035,-3.3140521630217483,57,0.8,0.8,0.8,5,0.8841756919374247,0.8717082105439407,1.0,43,1.0,0.5177498015197913,1.0,0.0,8817
PatchNAS [ungated],gtsrb/densenet121,303,21,0.6579365079365078,1.0,0.0,1.0,0.5833333333333334,0.7997867235403893,-2.8548942622909825,60,1.0,1.0,0.8333333333333334,6,0.894404332129964,0.8905599688041009,1.0,43,1.0,0.5218073775086893,1.0,0.0,8919
PatchNAS [ungated],gtsrb/vgg16,101,29,0.5157264896829326,0.6666666666666666,0.0,0.8181818181818182,0.5681818181818182,0.763705791435585,-6.195140773479977,132,1.0,0.8235294117647058,0.6470588235294118,17,0.8376696255484134,0.8392446563070958,1.0,43,1.0,0.5021924482338611,1.0,0.0,8210
PatchNAS [ungated],gtsrb/vgg16,202,29,0.47750869819835345,0.3333333333333333,0.0,0.8333333333333334,0.6068376068376068,0.7437017755879892,-6.199796319204668,117,0.6842105263157895,0.631578947368421,0.5789473684210527,19,0.8313437404346495,0.8691452607561378,1.0,43,1.0,0.4988954344624448,1.0,0.0,8148
PatchNAS [ungated],gtsrb/vgg16,303,30,0.5261585038055626,0.6571428571428571,0.0,0.8972222222222223,0.5620437956204379,0.7128218836318275,-7.015296347126213,137,0.8823529411764706,0.7647058823529411,0.6470588235294118,17,0.8230792776247322,0.8172351692733598,1.0,43,1.0,0.52807735217553,1.0,0.0,8067
