method,variant,setting,label,dataset,backbone,seed,metric,value,note,source
FixedPatch (best lr),fixed60_lr1e2,tt100k_signs/resnet50,T-RN,tt100k_signs,resnet50,202,RR_seen,0.320388,"best of lr {1e-2,1e-1} on RR_held",outputs/patch_ablation
FixedPatch (best lr),fixed60_lr1e2,tt100k_signs/resnet50,T-RN,tt100k_signs,resnet50,202,RR_held,0.267442,"best of lr {1e-2,1e-1} on RR_held",outputs/patch_ablation
FixedPatch (best lr),fixed60_lr1e2,tt100k_signs/resnet50,T-RN,tt100k_signs,resnet50,202,Reg,0.00718,"best of lr {1e-2,1e-1} on RR_held",outputs/patch_ablation
FixedPatch (best lr),fixed60_lr1e2,tt100k_signs/resnet50,T-RN,tt100k_signs,resnet50,202,CReg,0.000737,"best of lr {1e-2,1e-1} on RR_held",outputs/patch_ablation
FixedPatch (best lr),fixed60_lr1e2,tt100k_signs/resnet50,T-RN,tt100k_signs,resnet50,303,RR_seen,0.320388,"best of lr {1e-2,1e-1} on RR_held",outputs/patch_ablation
FixedPatch (best lr),fixed60_lr1e2,tt100k_signs/resnet50,T-RN,tt100k_signs,resnet50,303,RR_held,0.251938,"best of lr {1e-2,1e-1} on RR_held",outputs/patch_ablation
FixedPatch (best lr),fixed60_lr1e2,tt100k_signs/resnet50,T-RN,tt100k_signs,resnet50,303,Reg,0.008285,"best of lr {1e-2,1e-1} on RR_held",outputs/patch_ablation
FixedPatch (best lr),fixed60_lr1e2,tt100k_signs/resnet50,T-RN,tt100k_signs,resnet50,303,CReg,0.00244,"best of lr {1e-2,1e-1} on RR_held",outputs/patch_ablation
"DynaPatch-NoGate (40ep, no early stop)",ep40ns_lastaffine,tt100k_signs/convnext_tiny,T-CN,tt100k_signs,convnext_tiny,101,RR_seen,0.672414,,outputs/patch_ablation
"DynaPatch-NoGate (40ep, no early stop)",ep40ns_lastaffine,tt100k_signs/convnext_tiny,T-CN,tt100k_signs,convnext_tiny,101,RR_held,0.252294,,outputs/patch_ablation
"DynaPatch-NoGate (40ep, no early stop)",ep40ns_lastaffine,tt100k_signs/convnext_tiny,T-CN,tt100k_signs,convnext_tiny,101,Reg,0.010676,,outputs/patch_ablation
"DynaPatch-NoGate (40ep, no early stop)",ep40ns_lastaffine,tt100k_signs/convnext_tiny,T-CN,tt100k_signs,convnext_tiny,101,CReg,0.005824,,outputs/patch_ablation
"DynaPatch-NoGate (40ep, no early stop)",ep40ns_lastaffine,tt100k_signs/convnext_tiny,T-CN,tt100k_signs,convnext_tiny,202,RR_seen,0.678161,,outputs/patch_ablation
"DynaPatch-NoGate (40ep, no early stop)",ep40ns_lastaffine,tt100k_signs/convnext_tiny,T-CN,tt100k_signs,convnext_tiny,202,RR_held,0.353211,,outputs/patch_ablation
"DynaPatch-NoGate (40ep, no early stop)",ep40ns_lastaffine,tt100k_signs/convnext_tiny,T-CN,tt100k_signs,convnext_tiny,202,Reg,0.008212,,outputs/patch_ablation
"DynaPatch-NoGate (40ep, no early stop)",ep40ns_lastaffine,tt100k_signs/convnext_tiny,T-CN,tt100k_signs,convnext_tiny,202,CReg,0.004123,,outputs/patch_ablation
"DynaPatch-NoGate (40ep, no early stop)",ep40ns_lastaffine,tt100k_signs/convnext_tiny,T-CN,tt100k_signs,convnext_tiny,303,RR_seen,0.683908,,outputs/patch_ablation
"DynaPatch-NoGate (40ep, no early stop)",ep40ns_lastaffine,tt100k_signs/convnext_tiny,T-CN,tt100k_signs,convnext_tiny,303,RR_held,0.353211,,outputs/patch_ablation
"DynaPatch-NoGate (40ep, no early stop)",ep40ns_lastaffine,tt100k_signs/convnext_tiny,T-CN,tt100k_signs,convnext_tiny,303,Reg,0.00876,,outputs/patch_ablation
"DynaPatch-NoGate (40ep, no early stop)",ep40ns_lastaffine,tt100k_signs/convnext_tiny,T-CN,tt100k_signs,convnext_tiny,303,CReg,0.00241,,outputs/patch_ablation
FixedPatch (best lr),fixed60_lr1e2,tt100k_signs/convnext_tiny,T-CN,tt100k_signs,convnext_tiny,101,RR_seen,0.465517,"best of lr {1e-2,1e-1} on RR_held",outputs/patch_ablation
FixedPatch (best lr),fixed60_lr1e2,tt100k_signs/convnext_tiny,T-CN,tt100k_signs,convnext_tiny,101,RR_held,0.288991,"best of lr {1e-2,1e-1} on RR_held",outputs/patch_ablation
FixedPatch (best lr),fixed60_lr1e2,tt100k_signs/convnext_tiny,T-CN,tt100k_signs,convnext_tiny,101,Reg,0.016425,"best of lr {1e-2,1e-1} on RR_held",outputs/patch_ablation
FixedPatch (best lr),fixed60_lr1e2,tt100k_signs/convnext_tiny,T-CN,tt100k_signs,convnext_tiny,101,CReg,0.004125,"best of lr {1e-2,1e-1} on RR_held",outputs/patch_ablation
FixedPatch (best lr),fixed60_lr1e2,tt100k_signs/convnext_tiny,T-CN,tt100k_signs,convnext_tiny,202,RR_seen,0.402299,"best of lr {1e-2,1e-1} on RR_held",outputs/patch_ablation
FixedPatch (best lr),fixed60_lr1e2,tt100k_signs/convnext_tiny,T-CN,tt100k_signs,convnext_tiny,202,RR_held,0.353211,"best of lr {1e-2,1e-1} on RR_held",outputs/patch_ablation
FixedPatch (best lr),fixed60_lr1e2,tt100k_signs/convnext_tiny,T-CN,tt100k_signs,convnext_tiny,202,Reg,0.014645,"best of lr {1e-2,1e-1} on RR_held",outputs/patch_ablation
FixedPatch (best lr),fixed60_lr1e2,tt100k_signs/convnext_tiny,T-CN,tt100k_signs,convnext_tiny,202,CReg,0.004608,"best of lr {1e-2,1e-1} on RR_held",outputs/patch_ablation
FixedPatch (best lr),fixed60_lr1e2,tt100k_signs/convnext_tiny,T-CN,tt100k_signs,convnext_tiny,303,RR_seen,0.316092,"best of lr {1e-2,1e-1} on RR_held",outputs/patch_ablation
FixedPatch (best lr),fixed60_lr1e2,tt100k_signs/convnext_tiny,T-CN,tt100k_signs,convnext_tiny,303,RR_held,0.316514,"best of lr {1e-2,1e-1} on RR_held",outputs/patch_ablation
FixedPatch (best lr),fixed60_lr1e2,tt100k_signs/convnext_tiny,T-CN,tt100k_signs,convnext_tiny,303,Reg,0.015056,"best of lr {1e-2,1e-1} on RR_held",outputs/patch_ablation
FixedPatch (best lr),fixed60_lr1e2,tt100k_signs/convnext_tiny,T-CN,tt100k_signs,convnext_tiny,303,CReg,0.006267,"best of lr {1e-2,1e-1} on RR_held",outputs/patch_ablation
"DynaPatch-NoGate (40ep, no early stop)",ep40ns,tt100k_signs/densenet121,T-DN,tt100k_signs,densenet121,101,RR_seen,0.8,,outputs/patch_ablation
"DynaPatch-NoGate (40ep, no early stop)",ep40ns,tt100k_signs/densenet121,T-DN,tt100k_signs,densenet121,101,RR_held,0.525641,,outputs/patch_ablation
"DynaPatch-NoGate (40ep, no early stop)",ep40ns,tt100k_signs/densenet121,T-DN,tt100k_signs,densenet121,101,Reg,0.012718,,outputs/patch_ablation
"DynaPatch-NoGate (40ep, no early stop)",ep40ns,tt100k_signs/densenet121,T-DN,tt100k_signs,densenet121,101,CReg,0.00367,,outputs/patch_ablation
"DynaPatch-NoGate (40ep, no early stop)",ep40ns,tt100k_signs/densenet121,T-DN,tt100k_signs,densenet121,202,RR_seen,0.844,,outputs/patch_ablation
"DynaPatch-NoGate (40ep, no early stop)",ep40ns,tt100k_signs/densenet121,T-DN,tt100k_signs,densenet121,202,RR_held,0.532051,,outputs/patch_ablation
"DynaPatch-NoGate (40ep, no early stop)",ep40ns,tt100k_signs/densenet121,T-DN,tt100k_signs,densenet121,202,Reg,0.011321,,outputs/patch_ablation
