setting,seed,lambda,RR_held,Reg,CReg,method
tt100k_signs/densenet121,303,0.5,0.6089743589743589,0.002236198462613557,0.0017110730872647274,NN-Patching
tt100k_signs/densenet121,303,1.0,0.592948717948718,0.001816911250873515,0.0017110730872647274,NN-Patching
tt100k_signs/densenet121,303,2.0,0.5833333333333334,0.0012578616352201257,0.0012221950623319481,NN-Patching
tt100k_signs/densenet121,303,4.0,0.5608974358974359,0.0009783368273934311,0.0007333170373991689,NN-Patching
tt100k_signs/vgg16,101,0.5,0.3018292682926829,0.004347826086956522,0.002912621359223301,NN-Patching
tt100k_signs/vgg16,101,1.0,0.2865853658536585,0.0036465638148667602,0.002184466019417476,NN-Patching
tt100k_signs/vgg16,101,2.0,0.27134146341463417,0.0033660589060308557,0.001941747572815534,NN-Patching
tt100k_signs/vgg16,101,4.0,0.25609756097560976,0.002805049088359046,0.001941747572815534,NN-Patching
tt100k_signs/vgg16,202,0.5,0.3323170731707317,0.0030855539971949507,0.0017262638717632551,NN-Patching
tt100k_signs/vgg16,202,1.0,0.3170731707317073,0.0012622720897615708,0.0009864364981504315,NN-Patching
tt100k_signs/vgg16,202,2.0,0.3079268292682927,0.0009817671809256663,0.0009864364981504315,NN-Patching
tt100k_signs/vgg16,202,4.0,0.29573170731707316,0.0008415147265077139,0.0009864364981504315,NN-Patching
tt100k_signs/vgg16,303,0.5,0.3597560975609756,0.00546984572230014,0.003931203931203931,NN-Patching
tt100k_signs/vgg16,303,1.0,0.3475609756097561,0.004628330995792427,0.0034398034398034397,NN-Patching
tt100k_signs/vgg16,303,2.0,0.3323170731707317,0.004067321178120617,0.0029484029484029483,NN-Patching
tt100k_signs/vgg16,303,4.0,0.3079268292682927,0.0032258064516129032,0.002457002457002457,NN-Patching
lisa_signs/resnet50,101,0.5,0.5,0.001607717041800643,0.001422475106685633,NN-Patching
lisa_signs/resnet50,101,1.0,0.5,0.001607717041800643,0.001422475106685633,NN-Patching
lisa_signs/resnet50,101,2.0,0.5,0.001607717041800643,0.001422475106685633,NN-Patching
lisa_signs/resnet50,101,4.0,0.47058823529411764,0.0010718113612004287,0.001422475106685633,NN-Patching
lisa_signs/resnet50,202,0.5,0.5588235294117647,0.0021436227224008574,0.0014044943820224719,NN-Patching
lisa_signs/resnet50,202,1.0,0.5588235294117647,0.0010718113612004287,0.0014044943820224719,NN-Patching
lisa_signs/resnet50,202,2.0,0.5588235294117647,0.0010718113612004287,0.0014044943820224719,NN-Patching
lisa_signs/resnet50,202,4.0,0.5,0.0010718113612004287,0.0014044943820224719,NN-Patching
lisa_signs/resnet50,303,0.5,0.2647058823529412,0.003215434083601286,0.0014064697609001407,NN-Patching
lisa_signs/resnet50,303,1.0,0.20588235294117646,0.003215434083601286,0.0014064697609001407,NN-Patching
lisa_signs/resnet50,303,2.0,0.20588235294117646,0.0021436227224008574,0.0014064697609001407,NN-Patching
lisa_signs/resnet50,303,4.0,0.08823529411764706,0.001607717041800643,0.0,NN-Patching
lisa_signs/convnext_tiny,101,0.5,0.35714285714285715,0.000526592943654555,0.0,NN-Patching
